abmagern	15.3944681917	330
nachtrauern	15.3595958465	10202
auskühlen	15.337555443	9000
nachhelfen	15.3311568768	523753
ausklappen	15.0715531748	69336
umbiegen	14.9156714971	18296
abgießen	14.913245297	16787
umplanen	14.4380501195	204907
durchnehmen	14.2333973272	1857909
austilgen	14.0913938936	8808
nachlösen	13.8904114991	277837
nachsenden	13.8596168091	87287
umdichten	13.4087821616	4391
unterschlüpfen	13.2862957938	20424
durchdiskutieren	12.531619885	202253
nachgehen	11.9914665463	3400816
zuteilen	11.9865442791	232736
nachdenken	11.9796383634	771600
abliefern	11.9767183405	227281
anfordern	11.9697475804	482171
anfliegen	11.9569217775	135587
einläuten	11.947741711	9284
eintauschen	11.9439752201	30239
abstützen	11.9208318741	99302
umgießen	11.9175869337	16787
auflockern	11.9132937158	12491
überleiten	11.8861755172	161462
durchschieben	11.883327624	84026
einmauern	11.8685283887	2090
umstimmen	11.862803993	225636
andenken	11.8042388475	771600
nachsuchen	11.7287258784	636183
aufspießen	11.7274636069	879
umbetten	11.7138702288	4590
zurichten	11.6857578926	365606
umstoßen	11.619453361	187159
eingießen	11.5784035017	16787
aufbohren	11.5000765219	13920
auftischen	11.4825882836	705
zuströmen	11.3663034012	21004
abrasieren	11.3256721516	4435
durchreißen	11.3193116635	72161
zumischen	11.3080530709	47081
untermischen	11.1894910168	47081
überbleiben	11.1709970041	1593676
aussteuern	11.1412025746	68053
aufschauen	11.0705580223	229349
einkapseln	11.0606598491	881
einschießen	11.0356367175	76985
durchrechnen	10.9551117068	243661
einspinnen	10.9272961704	9550
nachproduzieren	10.7683840947	132534
nachrecherchieren	10.6489161448	22025
nachstreben	10.590346193	46902
einschrumpfen	10.4845479656	18343
zuladen	10.4596473251	134145
auskratzen	10.458680889	11337
unterheben	10.3993958708	149674
anmischen	10.2861172583	47081
abformen	10.241804874	26448
zuschließen	10.1820903812	340184
ankuppeln	10.0613090307	305
durchleiten	9.9198550307	161462
zuwuchern	9.7746611039	4350
durchrosten	9.6619221502	1569
ausbohren	9.661435752	13920
ausdrehen	9.3485033651	188477
nachfliegen	9.1719745223	135587
ummodeln	9.0625177446	411
anzahlen	8.9862934338	233091
zukneifen	8.5319754415	2171
nachwürzen	8.2961328185	13558
ansehen	7.999329903	2553976
durchsetzen	7.9992434088	1236103
ausstatten	7.9987047319	4356
andeuten	7.9951763448	79975
zutreffen	7.9942031143	725568
zufallen	7.9872582934	754613
anrechnen	7.979108834	243661
einplanen	7.9771121537	204907
durchmachen	7.9730266353	4148997
ausmustern	7.9563254633	4923
anhaften	7.9556287965	42753
abtun	7.9525832227	1197228
einschulen	7.9483942682	17695
eingravieren	7.9432110982	465
einhängen	7.9335627988	254727
einsitzen	7.9286959738	394211
anstiften	7.9263220267	20684
zuschieben	7.9057303826	84026
angelangen	7.9030973511	201729
anpeilen	7.9015127959	2472
ausdifferenzieren	7.8999307133	20647
ausformulieren	7.8741635839	103111
überordnen	7.8563687573	56735
auspressen	7.8411823456	16156
umformulieren	7.8218651839	103111
einwachsen	7.7909484212	232266
eindrehen	7.7878560231	188477
zumarschieren	7.7812355659	24306
nachschießen	7.7699881843	76985
ausgründen	7.7114526525	219525
ausschauen	7.7070645222	229349
nachzahlen	7.6444271252	233091
nachklingen	7.6367368538	128944
abblättern	7.6220399283	8428
aufsperren	7.6005808785	42201
durchhängen	7.5437880932	254727
umdefinieren	7.5253343446	117602
nachreifen	7.4787529339	12659
auskochen	7.4778074643	48346
durchlüften	7.477544436	8401
unterpflügen	7.4397528321	2207
einrammen	7.4373549603	6596
ausweiden	7.3912391371	4948
aufbrühen	7.364127474	407
umarrangieren	7.2762501309	16407
einreiten	7.2554698523	21284
